station_name,month,day_of_week,holiday,time_type,malfunction_cause,malfunction_cause_group,rain_bins,wind_bins,temp_bins,duration_30min_intervals
Almere Oostvaarders,January,Tuesday,holiday,peak,vandalism,external,medium,medium,chilly,f
Lelystad Centrum,January,Tuesday,holiday,peak,vandalism,external,medium,medium,chilly,f
Ermelo,January,Tuesday,holiday,peak,signal failure,infrastructure,medium,medium,chilly,a
Harderwijk,January,Tuesday,holiday,peak,signal failure,infrastructure,medium,medium,chilly,a
Putten,January,Tuesday,holiday,peak,signal failure,infrastructure,medium,medium,chilly,a
Culemborg,January,Tuesday,holiday,peak,an emergency call,external,medium,medium,chilly,b
Geldermalsen,January,Tuesday,holiday,peak,an emergency call,external,medium,medium,chilly,b
Houten Castellum,January,Tuesday,holiday,peak,an emergency call,external,medium,medium,chilly,b
Amersfoort Centraal,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Amersfoort Schothorst,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Amersfoort Vathorst,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Ermelo,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Harderwijk,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
't Harde,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Nijkerk,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Nunspeet,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Putten,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Wezep,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Zwolle,January,Tuesday,holiday,off-peak,repair works,engineering work,medium,medium,chilly,g
Gouda,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,b
Gouda Goverwelle,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,b
Woerden,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,b
Groningen Noord,January,Tuesday,holiday,peak,broken down train,rolling stock,medium,medium,chilly,d
Sauwerd,January,Tuesday,holiday,peak,broken down train,rolling stock,medium,medium,chilly,d
Schiphol Airport,January,Tuesday,holiday,off-peak,broken down train,rolling stock,medium,medium,chilly,a
Zwolle,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,e
Beesd,January,Wednesday,nonholiday,off-peak,signal and level crossing failure,infrastructure,medium,medium,freezing,g
Geldermalsen,January,Wednesday,nonholiday,off-peak,signal and level crossing failure,infrastructure,medium,medium,freezing,g
Leerdam,January,Wednesday,nonholiday,off-peak,signal and level crossing failure,infrastructure,medium,medium,freezing,g
Kapelle-Biezelinge,January,Wednesday,nonholiday,peak,person on the railway track,external,medium,medium,freezing,a
Goes,January,Wednesday,nonholiday,peak,person on the railway track,external,medium,medium,freezing,a
Kruiningen-Yerseke,January,Wednesday,nonholiday,peak,person on the railway track,external,medium,medium,freezing,a
Hoofddorp,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,c
Leiden Centraal,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,c
Nieuw Vennep,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,c
Sassenheim,January,Wednesday,nonholiday,peak,damaged overhead wires,infrastructure,medium,medium,freezing,c
Coevorden,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,b
Dalen,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,b
Emmen,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,b
Emmen Zuid,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,b
Utrecht Centraal,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,b
Utrecht Terwijde,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,b
Vleuten,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,b
Woerden,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,b
Utrecht Leidsche Rijn,January,Wednesday,nonholiday,off-peak,broken down train,rolling stock,medium,medium,freezing,b
Almelo,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,d
Wierden,January,Wednesday,nonholiday,off-peak,points failure,infrastructure,medium,medium,freezing,d
Kaldenkirchen,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,i
Mönchengladbach Hbf,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,i
Viersen,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,i
Venlo,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,i
Boisheim,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,i
Breyell,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,i
Dülken,January,Thursday,nonholiday,off-peak,problems with the rolling stock,rolling stock,low,low,freezing,i
Breda,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Rotterdam Centraal,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Utrecht Centraal,January,Thursday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,g
Utrecht Overvecht,January,Thursday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,g
Utrecht Centraal,January,Thursday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,f
Utrecht Overvecht,January,Thursday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,f
Den Haag Mariahoeve,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Den Haag Laan v NOI,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Den Haag Mariahoeve,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,b
Den Haag Laan v NOI,January,Thursday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,b
Driebergen-Zeist,January,Thursday,nonholiday,off-peak,collision with a vehicle,accidents,low,low,freezing,d
Ede-Wageningen,January,Thursday,nonholiday,off-peak,collision with a vehicle,accidents,low,low,freezing,d
Veenendaal-De Klomp,January,Thursday,nonholiday,off-peak,collision with a vehicle,accidents,low,low,freezing,d
Maarn,January,Thursday,nonholiday,off-peak,collision with a vehicle,accidents,low,low,freezing,d
Amersfoort Centraal,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Barneveld Centrum,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Barneveld Noord,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Ede-Wageningen,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Ede Centrum,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Lunteren,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Hoevelaken,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Barneveld Zuid,January,Thursday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Arnhem Centraal,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,d
Bunnik,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,d
Driebergen-Zeist,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,d
Ede-Wageningen,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,d
Veenendaal-De Klomp,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,d
Maarn,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,d
Oosterbeek,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,d
Utrecht Centraal,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,d
Wolfheze,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,d
Utrecht Vaartsche Rijn,January,Thursday,nonholiday,peak,disruption elsewhere,logistical,low,low,freezing,d
Schiphol Airport,January,Thursday,nonholiday,peak,fire alarm,external,low,low,freezing,b
Apeldoorn,January,Thursday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,b
Apeldoorn Osseveld,January,Thursday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,b
Deventer,January,Thursday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,b
Twello,January,Thursday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,b
's-Hertogenbosch,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,b
Tilburg,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,b
Best,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,c
Boxtel,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,c
Eindhoven Centraal,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,c
's-Hertogenbosch,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,c
Vught,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,c
Eindhoven Strijp-S,January,Thursday,nonholiday,peak,points failure,infrastructure,low,low,freezing,c
's-Hertogenbosch,January,Thursday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,c
Tilburg,January,Thursday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,c
Dordrecht,January,Friday,nonholiday,off-peak,over-running engineering works,engineering work,low,low,freezing,d
Dordrecht Zuid,January,Friday,nonholiday,off-peak,over-running engineering works,engineering work,low,low,freezing,d
Oudenbosch,January,Friday,nonholiday,off-peak,over-running engineering works,engineering work,low,low,freezing,d
Roosendaal,January,Friday,nonholiday,off-peak,over-running engineering works,engineering work,low,low,freezing,d
Lage Zwaluwe,January,Friday,nonholiday,off-peak,over-running engineering works,engineering work,low,low,freezing,d
Zevenbergen,January,Friday,nonholiday,off-peak,over-running engineering works,engineering work,low,low,freezing,d
Venlo,January,Friday,nonholiday,off-peak,an emergency call,external,low,low,freezing,f
Hoogeveen,January,Friday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,c
Meppel,January,Friday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,c
Baarn,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,g
Hilversum,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,g
Bad Bentheim,January,Friday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,j
Oldenzaal,January,Friday,nonholiday,peak,broken down train,rolling stock,low,low,freezing,j
Amersfoort Centraal,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Amsterdam Centraal,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Amsterdam Muiderpoort,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Amsterdam Science Park,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Baarn,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Bussum Zuid,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Diemen,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Hilversum,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Naarden-Bussum,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Weesp,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Hilversum Media Park,January,Friday,nonholiday,peak,person hit by a train,accidents,low,low,freezing,h
Arnhem Centraal,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Bunnik,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Driebergen-Zeist,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Ede-Wageningen,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Veenendaal-De Klomp,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Maarn,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Oosterbeek,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Utrecht Centraal,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Wolfheze,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Utrecht Vaartsche Rijn,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Driebergen-Zeist,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Maarn,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Veenendaal Centrum,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Veenendaal West,January,Friday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,f
Amersfoort Centraal,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Barneveld Centrum,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Barneveld Noord,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Ede-Wageningen,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Ede Centrum,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Lunteren,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Hoevelaken,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Barneveld Zuid,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Arnhem Centraal,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Bunnik,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Driebergen-Zeist,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Ede-Wageningen,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Veenendaal-De Klomp,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Maarn,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Oosterbeek,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Utrecht Centraal,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Wolfheze,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Utrecht Vaartsche Rijn,January,Friday,nonholiday,off-peak,disruption elsewhere,logistical,low,low,freezing,d
Amersfoort Centraal,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Amersfoort Schothorst,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Amersfoort Vathorst,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Ermelo,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Harderwijk,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
't Harde,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Nijkerk,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Nunspeet,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Putten,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Wezep,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Zwolle,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Utrecht Centraal,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Utrecht Overvecht,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Breda,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,b
Rotterdam Centraal,January,Friday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,b
Roosendaal,January,Friday,nonholiday,peak,an emergency call,external,low,low,freezing,d
Coevorden,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,e
Dalfsen,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,e
Dalen,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,e
Emmen,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,e
Emmen Zuid,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,e
Gramsbergen,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,e
Hardenberg,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,e
Mariënberg,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,e
Ommen,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,e
Zwolle,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,e
Barendrecht,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,b
Dordrecht,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,b
Rotterdam Lombardijen,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,b
Rotterdam Blaak,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,b
Rotterdam Centraal,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,b
Rotterdam Stadion,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,b
Rotterdam Zuid,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,b
Zwijndrecht,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,b
Breda,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,b
Rotterdam Centraal,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,b
Breda,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,h
Rotterdam Centraal,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,h
Schiphol Airport,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,h
Rotterdam Centraal,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,g
Schiphol Airport,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,g
Amsterdam Centraal,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,g
Amsterdam Lelylaan,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,g
Amsterdam Sloterdijk,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,g
Rotterdam Centraal,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,g
Schiphol Airport,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,g
Breda,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,a
Rotterdam Centraal,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,a
Tegelen,January,Saturday,nonholiday,off-peak,signal failure,infrastructure,medium,high,chilly,a
Venlo,January,Saturday,nonholiday,off-peak,signal failure,infrastructure,medium,high,chilly,a
Eindhoven Centraal,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,a
Helmond,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,a
Helmond Brandevoort,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,a
Helmond 't Hout,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,a
Bad Bentheim,January,Saturday,nonholiday,off-peak,fire in a train,rolling stock,medium,high,chilly,c
Hengelo,January,Saturday,nonholiday,off-peak,fire in a train,rolling stock,medium,high,chilly,c
Hengelo Oost,January,Saturday,nonholiday,off-peak,fire in a train,rolling stock,medium,high,chilly,c
Oldenzaal,January,Saturday,nonholiday,off-peak,fire in a train,rolling stock,medium,high,chilly,c
Osnabrück Hbf,January,Saturday,nonholiday,off-peak,fire in a train,rolling stock,medium,high,chilly,c
Rheine,January,Saturday,nonholiday,off-peak,fire in a train,rolling stock,medium,high,chilly,c
Blerick,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,d
Venray,January,Saturday,nonholiday,off-peak,broken down train,rolling stock,medium,high,chilly,d
Bad Bentheim,January,Saturday,nonholiday,off-peak,problems with the rolling stock,rolling stock,medium,high,chilly,c
Hengelo,January,Saturday,nonholiday,off-peak,problems with the rolling stock,rolling stock,medium,high,chilly,c
Hengelo Oost,January,Saturday,nonholiday,off-peak,problems with the rolling stock,rolling stock,medium,high,chilly,c
Oldenzaal,January,Saturday,nonholiday,off-peak,problems with the rolling stock,rolling stock,medium,high,chilly,c
Nijmegen,January,Saturday,nonholiday,off-peak,person on the railway track,external,medium,high,chilly,a
Nijmegen Dukenburg,January,Saturday,nonholiday,off-peak,person on the railway track,external,medium,high,chilly,a
Wijchen,January,Saturday,nonholiday,off-peak,person on the railway track,external,medium,high,chilly,a
Nijmegen Goffert,January,Saturday,nonholiday,off-peak,person on the railway track,external,medium,high,chilly,a
Breda,January,Sunday,nonholiday,off-peak,signal and level crossing failure,infrastructure,low,low,freezing,a
Etten-Leur,January,Sunday,nonholiday,off-peak,signal and level crossing failure,infrastructure,low,low,freezing,a
Roosendaal,January,Sunday,nonholiday,off-peak,signal and level crossing failure,infrastructure,low,low,freezing,a
Breda,January,Sunday,nonholiday,off-peak,signal and level crossing failure,infrastructure,low,low,freezing,f
Etten-Leur,January,Sunday,nonholiday,off-peak,signal and level crossing failure,infrastructure,low,low,freezing,f
Roosendaal,January,Sunday,nonholiday,off-peak,signal and level crossing failure,infrastructure,low,low,freezing,f
Arnhem Centraal,January,Sunday,nonholiday,off-peak,railway problems abroad,logistical,low,low,freezing,b
Arnhem Velperpoort,January,Sunday,nonholiday,off-peak,railway problems abroad,logistical,low,low,freezing,b
Duiven,January,Sunday,nonholiday,off-peak,railway problems abroad,logistical,low,low,freezing,b
Emmerich,January,Sunday,nonholiday,off-peak,railway problems abroad,logistical,low,low,freezing,b
Zevenaar,January,Sunday,nonholiday,off-peak,railway problems abroad,logistical,low,low,freezing,b
Westervoort,January,Sunday,nonholiday,off-peak,railway problems abroad,logistical,low,low,freezing,b
Diemen Zuid,January,Sunday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,c
Weesp,January,Sunday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,c
Boxtel,January,Sunday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,g
Oisterwijk,January,Sunday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,g
Tilburg,January,Sunday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,g
Arnhem Centraal,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,e
Arnhem Zuid,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,e
Elst,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,e
Nijmegen,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,e
Nijmegen Lent,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,e
Arnhem Centraal,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,d
Arnhem Zuid,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,d
Elst,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,d
Nijmegen,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,b
Nijmegen Dukenburg,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,b
Wijchen,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,b
Nijmegen Goffert,January,Sunday,nonholiday,off-peak,points failure,infrastructure,low,low,freezing,b
Bodegraven,January,Sunday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,g
Woerden,January,Sunday,nonholiday,off-peak,person hit by a train,accidents,low,low,freezing,g
Zwolle,January,Sunday,nonholiday,off-peak,an emergency call,external,low,low,freezing,e
Breda,January,Sunday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,d
Rotterdam Centraal,January,Sunday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,d
Lelystad Centrum,January,Sunday,nonholiday,off-peak,collision,accidents,low,low,freezing,a
Dronten,January,Sunday,nonholiday,off-peak,collision,accidents,low,low,freezing,a
Den Helder,January,Sunday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Den Helder Zuid,January,Sunday,nonholiday,off-peak,broken down train,rolling stock,low,low,freezing,a
Delft,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Delft Campus,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
De Vink,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Den Haag HS,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Den Haag Centraal,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Den Haag Mariahoeve,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Den Haag Moerwijk,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Hoofddorp,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Den Haag Laan v NOI,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Leiden Centraal,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Nieuw Vennep,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Rijswijk,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Rotterdam Centraal,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Schiedam Centrum,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Voorschoten,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Sassenheim,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,a
Amsterdam Centraal,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
Amsterdam Lelylaan,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
Amsterdam Sloterdijk,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
Schiphol Airport,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
Amsterdam Zuid,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
Bussum Zuid,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
Diemen Zuid,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
Duivendrecht,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
Hilversum,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
Naarden-Bussum,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
Amsterdam RAI,January,Monday,nonholiday,off-peak,broken down train,rolling stock,medium,high,freezing,b
